RMSE,MAE,MAPE,sMAPE
215.24406424159324,153.6516253153483,23.561900282519986,20.80956286256866
172.75762644783543,110.58467356363933,17.212349058650332,18.12252290309598
436.5982564084647,271.2610460917155,27.775413478699406,37.17957005893736
75.12339313064484,51.94724655151367,13.790757118268917,12.16673681324359
84.48258324631907,67.03567123413086,13.953925892360761,13.767799697712135
183.4323172055405,97.97559611002605,18.590082880544966,17.24024388803295
484.24567187975555,348.2818438212077,88.4544510922766,48.554487398412874
797.9591974362722,468.83339436848956,29.533942932567548,40.590438227407326
381.1514607228858,213.11982345581055,21.026616253870245,26.203314358911413
287.86450602058017,119.5332768758138,15.880523359926155,16.90606960755439
272.7737294272314,179.16471989949545,24.850578366827403,32.28188579082858
175.64928029972992,80.2911376953125,12.7574607522742,12.906925069538305
754.4325589114455,426.36033884684247,28.583343289582924,40.3578248947866
367.56513035528144,237.28406270345053,25.150334086071354,27.039878623329816
