RMSE,MAE,MAPE,sMAPE
339.4383637078189,291.8080139160156,50.258815806100145,37.76000598923424
343.1246913446251,263.63453674316406,52.38183711978296,38.08723215205171
366.50865747356437,290.6195805867513,46.45966681295699,38.51633926252575
250.42489630451522,202.8866984049479,55.363476021039446,39.47760511309146
201.94933627435057,155.8295021057129,34.533040586376515,27.680072359096204
182.8984936445367,123.75320307413737,26.814921154852566,22.966691243921407
683.7233755328273,464.1802978515625,121.25442752585943,54.41127283599386
592.2044913506162,473.5252113342285,69.39408735673682,53.14448077479369
419.12007422115636,346.85680262247723,56.95273920448039,43.92614958846763
561.3488094794137,507.68878173828125,129.61480642956664,72.67341968582026
193.20425822431721,148.37341181437174,30.619929845492226,26.39954857209648
315.48400290201556,265.5639813741048,62.02789877955341,44.725875211216845
698.9602565781613,388.9622408548991,28.89845963674258,36.281066361069456
376.3113170816711,298.63829294840497,50.53376019897785,37.83551225450186
