RMSE,MAE,MAPE,sMAPE
159.59649583344824,112.72218088125457,19.45185164889137,17.173358158330988
143.96156830986587,90.40032095338627,15.90743180798522,14.041908128468448
376.9217410625225,246.47955062074118,30.22269650128327,34.36428646637727
246.95391676215303,188.7322151875492,53.66745709960997,36.302567250209144
182.9820391913664,135.27109710898836,30.827837949741728,25.042670193360028
249.9574087398161,182.98028094938624,45.90049123259601,33.28719433546546
231.91635984023029,154.38535528648916,39.387262399225804,28.218710160354714
809.3518410965839,504.3463314080625,37.05377759159305,47.10651412538765
365.42298527435173,223.0978376577857,25.68279710732886,30.59634417959238
328.7368969610974,214.99693455458308,45.82004975759653,34.27189445436187
196.57917074018175,147.07637531042315,29.393901437421032,24.893766940436553
223.00403825991566,142.94056970804033,29.109895266649623,23.401457462970576
670.5073872359314,390.23464349729016,30.651374389583797,36.28300961870205
414.7171814993733,265.15770391910667,30.1135711005039,30.16548364275728
