RMSE,MAE,MAPE,sMAPE
240.3519094091459,196.8637606302897,36.43203481354029,29.104272573667494
237.34646688032888,172.78664525349936,33.6531795561292,27.948968032002657
374.82557204611425,255.43782170613608,31.831255113115724,33.275966302692076
178.61609704850076,151.42216110229492,40.44857829858206,31.88655545509505
175.2423928847209,135.71568171183267,35.61778653688008,27.493244575336306
282.77485849403286,220.7679901123047,53.13099001427769,39.72351976446853
301.90708670039385,228.23515955607095,59.035508008872284,40.01267390753234
737.2230591549518,560.9236551920573,65.50724689657973,59.06124695399547
402.06391302547763,267.3899230957031,32.35805582999711,35.52767684350111
357.6725402833313,242.96100680033365,52.55210635849803,37.78992406500228
288.62144841371855,214.6203130086263,33.96865140951103,33.48163573281751
152.8785074731502,93.62102762858073,18.482951914162214,17.48236292502615
720.1606740963599,419.36413192749023,32.069801412100276,41.01830257460308
375.63628776135056,238.78677876790366,28.76059536268328,28.384197332135535
